id,original_title,original_language
9482,Judge Dredd,en
19326,Jury Duty,en
9344,Kids,en
9071,Living in Oblivion,en
8973,Lord of Illusions,en
15730,Love & Human Remains,en
47608,Mad Love,en
2293,Mallrats,en
9070,Mighty Morphin Power Rangers: The Movie,en
68274,Moonlight and Valentino,en
48787,Mute Witness,en
34574,Nadja,en
1642,The Net,en
11472,Nine Months,en
36196,Party Girl,en
11980,The Prophecy,en
58372,Reckless,en
32646,Safe,en
10533,The Scarlet Letter,en
56088,The Show,en
10802,Showgirls,en
10149,Smoke,en
18402,Something to Talk About,en
9348,Species,en
139408,The Stars Fell on Henrietta,en
281,Strange Days,en
5967,Les parapluies de Cherbourg,fr
79593,The Tie That Binds,en
47939,Three Wishes,en
36834,Total Eclipse,en
9090,To Wong Foo Thanks for Everything! Julie Newmar,en
3512,Under Siege 2: Dark Territory,en
52856,Unstrung Heroes,en
77350,Unzipped,en
9560,A Walk in the Clouds,en
9804,Waterworld,en
31611,White Man's Burden,en
65796,Wild Bill,en
49805,The Browning Version,en
26258,Bushwhacked,en
50797,Утомлённые солнцем,ru
19155,Before the Rain,en
76,Before Sunrise,en
11017,Billy Madison,en
37141,The Babysitter,en
9382,Boys on the Side,en
6715,The Cure,en
18256,Castle Freak,en
22625,Circle of Friends,en
2292,Clerks,en
1909,Don Juan DeMarco,en
8984,Disclosure,en
61813,Dream Man,en
4954,Drop Zone,en
62488,Destiny Turns on the Radio,it
10531,Death and the Maiden,en
11929,Dolores Claiborne,en
8467,Dumb and Dumber,en
10451,飲食男女,zh
20156,Exotica,en
18395,Exit to Eden,en
522,Ed Wood,en
397,French Kiss,en
10525,Forget Paris,en
27985,Far from Home: The Adventures of Yellow Dog,en
15789,A Goofy Movie,en
27303,Hideaway,en
21183,Fluke,en
10954,Farinelli,fr
47867,Gordy,en
43475,Gumby: The Movie,en
72031,The Glass Shield,en
14275,Hoop Dreams,en
1024,Heavenly Creatures,en
17207,Houseguest,en
13701,Immortal Beloved,en
14819,Heavyweights,en
32631,The Hunted,en
11777,I.Q.,en
628,Interview with the Vampire,en
87729,Jefferson in Paris,en
18713,The Jerky Boys,en
6280,Junior,en
9061,Just Cause,en
37108,A Kid in King Arthur's Court,en
6071,Kiss of Death,en
11,Star Wars,en
9587,Little Women,en
19101,A Little Princess,en
49980,Ladybird Ladybird,en
17961,L'Enfer,fr
18183,Como agua para chocolate,es
4476,Legends of the Fall,en
11008,Major Payne,en
47504,Little Odessa,en
32325,Mi Vida Loca,en
43742,Love Affair,en
28313,Losing Isaiah,en
11318,The Madness of King George,en
3036,Frankenstein,en
40490,Man of the House,en
24070,Mixed Nuts,en
8986,Milk Money,en
10510,Miracle on 34th Street,en
17402,Miami Rhapsody,en
38722,My Family,en
8438,Murder in the First,en
11593,Nobody's Fool,en
1945,Nell,en
39310,New Jersey Drive,en
109560,New York Cop,en
56428,Beyond Bedlam,en
63105,Nemesis 2 - Nebula,en
131957,Nina Takes a Lover,en
241,Natural Born Killers,en
9058,Only You,en
527,Once Were Warriors,en
18220,Poison Ivy II: Lily,en
6950,Outbreak,en
101,Léon,fr
63020,The Perez Family,en
2307,A Pyromaniac's Love Story,en
680,Pulp Fiction,en
41478,Panther,en
25296,Pushing Hands,zh
40156,Priest,en
11450,Quiz Show,en
30304,Picture Bride,en
10452,La Reine Margot,fr
12106,The Quick and the Dead,en
161495,Roommates,sv
3586,Prêt-à-Porter,en
110,Trois couleurs : Rouge,fr
108,Trois couleurs : Bleu,fr
109,Trois couleurs : Blanc,fr
159185,Pao Da Shuang Deng,zh
36357,Rent-a-Kid,en
92769,Relative Fear,en
28033,Stuart Saves His Family,en
22586,The Swan Princess,en
14334,The Secret of Roan Inish,en
2636,The Specialist,en
2164,Stargate,en
11395,The Santa Clause,en
278,The Shawshank Redemption,en
9905,Shallow Grave,en
87078,Suture,en
12527,Fresa y chocolate,es
20306,Swimming with Sharks,en
36614,The Sum of Us,en
27993,Senior Trip,en
31439,活着,zh
9067,Tank Girl,en
9059,Tales from the Crypt: Demon Knight,en
193,Star Trek: Generations,en
25066,Tales from the Hood,en
46797,Tom & Viv,en
12122,Village of the Damned,en
11381,Tommy Boy,en
32636,Vanya on 42nd Street,en
36141,The Underneath,en
95963,The Walking Dead,en
1587,What's Eating Gilbert Grape,en
9271,Virtuosity,en
2064,While You Were Sleeping,en
19855,The War,en
60855,Double Happiness,en
236,Muriel's Wedding,en
48287,The Baby-Sitters Club,en
3049,Ace Ventura: Pet Detective,en
2759,The Adventures of Priscilla Queen of the Desert,en
12635,Backbeat,en
10497,Bitter Moon,en
11382,Bullets Over Broadway,en
9331,Clear and Present Danger,en
10731,The Client,en
10464,Corrina Corrina,en
34152,Crooklyn,en
9495,The Crow,en
29973,Cobb,en
888,The Flintstones,en
13,Forrest Gump,en
712,Four Weddings and a Funeral,en
16295,Higher Learning,en
48992,I Like It Like That,en
10879,I Love Trouble,en
10660,It Could Happen to You,en
10714,The Jungle Book,en
41647,Die Macht der Bilder: Leni Riefenstahl,en
8587,The Lion King,en
1689,Little Buddha,en
11596,New Nightmare,en
854,The Mask,en
9359,Maverick,en
23333,Mrs. Parker and the Vicious Circle,en
36593,The Naked Gun 33⅓: The Final Insult,en
12280,The Paper,en
2788,Reality Bites,en
10427,Red Rock West,en
11011,Ri¢hie Ri¢h,en
49803,Safe Passage,en
8987,The River Wild,en
1637,Speed,en
15128,Speechless,en
8831,Timecop,en
36955,True Lies,en
10449,When a Man Loves a Woman,en
10395,Wolf,en
12160,Wyatt Earp,en
40480,Bad Company,en
52038,A Man of No Importance,en
29444,S.F.W.,en
26352,A Low Down Dirty Shame,en
39953,Boys Life: Three Stories of Love Lust and Liberation,en
41580,Le colonel Chabert,fr
315,Faster Pussycat! Kill! Kill!,en
22067,Jason's Lyric,en
18242,The Secret Adventures of Tom Thumb,en
11667,Street Fighter,en
32502,Coldblooded,en
267188,Desert Winds,en
28732,Fall Time,en
75555,The Fear,en
42981,Frank and Ollie,en
278939,Girl in the Cadillac,en
291731,Homage,en
226229,Mirage,en
203119,Open Season,en
172923,Dos Crímenes,en
316098,Brother Minister: The Assassination of Malcolm X,en
8011,Highlander III: The Sorcerer,en
171857,Federal Hill,en
2654,In the Mouth of Madness,en
18069,8 Seconds,en
19092,Above the Rim,en
2758,Addams Family Values,en
38129,Martin Lawrence: You So Crazy,en
10436,The Age of Innocence,en
13595,Airheads,en
46094,The Air Up There,en
9409,Another Stakeout,en
11853,Bad Girls,en
16771,Barcelona,en
46924,Being Human,en
11041,The Beverly Hillbillies,en
306,Beverly Hills Cop III,en
14522,Black Beauty,en
26203,Blink,en
178,Blown Away,en
19819,Blue Chips,en
57834,Blue Sky,en
4722,Body Snatchers,en
18215,Boxing Helena,en
1607,A Bronx Tale,en
26391,Cabin Boy,en
117553,Calendar Girl,en
6075,Carlito's Way,en
11310,City Slickers II: The Legend of Curly's Gold,en
18658,Clean Slate,en
9350,Cliffhanger,en
9612,Coneheads,en
2124,Color of Night,en
26261,Cops & Robbersons,en
19176,The Cowboy Way,en
49299,Dangerous Game,en
11566,Dave,en
9571,Dazed and Confused,en
9739,Demolition Man,en
24257,The Endless Summer 2,en
34444,Even Cowgirls Get the Blues,en
26141,Fatal Instinct,en
10997,霸王别姬,zh
50463,The Favor,en
10443,Fearless,en
20239,Fear of a Black Hat,en
16297,With Honors,en
18551,Flesh and Bone,en
25440,Widows' Peak,en
9024,For Love or Money,en
37233,The Firm,en
1634,Free Willy,en
13815,Fresh,en
5503,The Fugitive,en
35588,Geronimo: An American Legend,en
2087,The Getaway,en
41579,Getting Even with Dad,en
18620,Go Fish,en
41006,A Good Man in Africa,en
4916,Guilty as Sin,en
2019,Hard Target,en
31642,Heaven & Earth,en
9255,Hot Shots! Part Deux,en
26271,Live Nude Girls,en
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,en
2259,The House of the Spirits,en
16097,House Party 3,en
11934,The Hudsucker Proxy,en
106143,I'll Do Anything,en
12475,In the Army Now,en
9386,In the Line of Fire,en
7984,In the Name of the Father,en
59930,The Inkwell,en
15765,What's Love Got to Do with It,en
31643,Jimmy Hollywood,en
6,Judgment Night,en
329,Jurassic Park,en
10909,Kalifornia,en
507,Killing Zoe,en
34024,King of the Hill,en
29918,Lassie,en
9593,Last Action Hero,en
42580,Life With Mikey,en
22317,Lightning Jack,en
1413,M. Butterfly,en
12121,Made in America,en
2246,Malice,en
10502,The Man without a Face,en
10440,Manhattan Murder Mystery,en
9516,Menace II Society,en
2320,Executive Decision,en
5879,愛のコリーダ,ja
83718,What Happened Was...,en
11971,Much Ado About Nothing,en
2625,Mr. Jones,en
31911,Mr. Wonderful,en
788,Mrs. Doubtfire,en
21450,Naked,en
11231,The Next Karate Kid,en
41588,The New Age,en
10447,No Escape,en
31586,North,en
9300,Orlando,en
9559,A Perfect World,en
9800,Philadelphia,en
713,The Piano,en
8291,Poetic Justice,en
18133,The Program,en
25557,The Puppet Masters,en
22588,Radioland Murders,en
10872,The Ref,en
1245,The Remains of the Day,en
11858,Renaissance Man,en
7007,Rising Sun,en
10467,The Road to Wellville,en
5550,RoboCop 3,en
8005,Robin Hood: Men in Tights,en
2088,Romeo Is Bleeding,en
10412,Romper Stomper,en
47889,Ruby in Paradise,en
14534,Rudy,en
56583,The Saint of Fort Washington,en
41878,Les Nuits Fauves,fr
424,Schindler's List,en
35233,The Scout,en
14291,Searching for Bobby Fischer,en
103413,Second Best,en
11236,The Secret Garden,en
11592,Serial Mom,en
8850,The Shadow,en
10445,Shadowlands,en
695,Short Cuts,en
43535,A Simple Twist of Fate,en
12519,Sirens,en
23210,Six Degrees of Separation,en
858,Sleepless in Seattle,en
867,Sliver,en
78,Blade Runner,en
13203,Son in Law,en
10442,So I Married an Axe Murderer,en
11074,Striking Distance,en
33367,Harem,en
9607,Super Mario Bros.,en
17585,Surviving the Game,en
9057,Terminal Velocity,en
20967,Thirty Two Short Films About Glenn Gould,en
10635,Threesome,en
9479,The Nightmare Before Christmas,en
10057,The Three Musketeers,en
11969,Tombstone,en
41590,Trial by Jury,en
319,True Romance,en
26408,The War Room,en
15139,The Pagemaster,en
161158,Paris France,en
218473,The Beans of Egypt Maine,en
85247,Killer,en
11446,Welcome to the Dollhouse,en
51980,Germinal,en
24405,Chasers,en
11655,Cronos,en
11800,Naked in New York,en
8223,Kika,es
14587,Bhaji on the Beach,en
31504,Little Big League,en
41653,Kådisbellan,sv
53185,Wide Eyed and Legless,en
95743,Foreign Student,en
23637,Io speriamo che me la cavo,en
17600,Spanking the Monkey,en
10897,The Little Rascals,en
349394,À la mode,en
21352,Andre,en
68806,La scorta,it
37345,Princess Caraboo,en
32562,The Celluloid Closet,en
47507,Métisse,en
25403,Caro diario,it
124304,De eso no se habla,en
9066,The Brady Bunch Movie,en
771,Home Alone,en
251,Ghost,en
812,Aladdin,en
280,Terminator 2: Judgment Day,en
581,Dances with Wolves,en
80350,Tough and Deadly,en
268,Batman,en
274,The Silence of the Lambs,en
408,Snow White and the Seven Dwarfs,en
10020,Beauty and the Beast,en
10895,Pinocchio,en
114,Pretty Woman,en
41043,Окно в Париж,ru
576,The Wild Bunch,en
15477,Love and a .45,en
59146,The Wooden Man's Bride,en
124472,A Great Day in Harlem,en
30528,Bye Bye Love,en
7300,One Fine Day,en
10824,Candyman: Farewell to the Flesh,en
261246,Century,en
275,Fargo,en
25059,Homeward Bound II: Lost in San Francisco,en
11827,Heavy Metal,en
8766,Hellraiser: Bloodline,en
23570,The Pallbearer,en
47333,Jane Eyre,en
54850,Loaded,en
51242,Pane e cioccolata,it
10112,The Aristocats,en
4307,La flor de mi secreto,es
46029,Two Much,en
32308,Ed,en
88893,Schrei aus Stein,de
52873,Ma saison préférée,fr
123505,A Modern Affair,en
340210,Condition Red,en
44281,Asfour Stah,en
28121,A Thin Line Between Love and Hate,en
12520,The Last Supper,en
1592,Primal Fear,en
166901,Rude,en
36447,Carried Away,en
19042,All Dogs Go to Heaven 2,en
38884,Land and Freedom,en
47449,Denise Calls Up,en
36259,Theodore Rex,en
41852,A Family Thing,en
40926,Frisk,en
9099,Sgt. Bilko,en
2021,Jack & Sarah,en
61752,Girl 6,en
10988,Diabolique,en
11479,Un indien dans la ville,fr
398959,Roula - Dunkle Geheimnisse,de
287305,Peanuts – Die Bank zahlt alles,de
339428,Happy Weekend,de
12652,Nelly & Monsieur Arnaud,fr
10684,Courage Under Fire,en
954,Mission: Impossible,en
68445,Á köldum klaka,de
18989,Moll Flanders,en
10801,Das Superweib,de
54285,삼공일 삼공이,ko
8840,DragonHeart,en
278978,Und keiner weint mir nach,de
124625,My Mother's Courage,de
11107,Eddie,en
16417,Yankee Zulu,en
70934,Billy's Holiday,en
10363,Plein soleil,fr
161070,August,en
10539,James and the Giant Peach,en
10543,Fear,en
18414,Kids in the Hall: Brain Candy,en
47502,Faithful,en
11902,Podzemlje,sr
27098,Lust och fägring stor,sv
25087,Bloodsport II,en
5801,পথের পাঁচালী,bn
896,অপুর সংসার,bn
3065,Mystery Science Theater 3000: The Movie,en
318177,Tarantella,en
2300,Space Jam,en
8069,Barbarella,en
288173,Hostile Intentions,en
187851,They Bite,en
27768,Some Folks Call It a Sling Blade,en
221917,The Run of the Country,en
8072,Alphaville une étrange aventure de Lemmy Caution,fr
35797,Coup de torchon,fr
88030,Tigrero: A Film That Was Never Made,en
185191,L'oeil de Vichy,en
83857,Windows,en
33245,It's My Party,en
124460,Country Life,en
27281,Operation Dumbo Drop,en
105045,Das Versprechen,de
40001,Mrs. Winterbourne,en
29621,Solo,en
117730,Etz Hadomim Tafus,he
20762,The Substitute,en
37144,True Crime,en
48260,Butterfly Kiss,en
12656,Feeling Minnesota,en
38867,Delta of Venus,en
277270,To Cross the Rubicon,en
25969,Angus,en
44103,Daens,nl
753,Faces,en
43634,Boys,en
9103,The Quest,en
90214,Cosi,en
29649,Sunset Park,en
10990,Mulholland Falls,en
8866,The Truth About Cats & Dogs,en
12233,Oliver & Company,en
23449,Celtic Pride,en
36355,Flipper,en
37667,Captives,en
90148,Of Love and Shadows,en
922,Dead Man,en
11876,Le Hussard sur le toit,en
52633,Switchblade Sisters,en
62364,Boca a boca,es
11687,Les visiteurs,fr
9304,Multiplicity,en
73183,The Haunted World of Edward D. Wood Jr.,en
131232,Due Amici,en
9100,The Craft,en
20759,The Great White Hype,en
46063,Last Dance,en
365371,War Stories Our Mother Never Told Us,en
32513,Cold Comfort Farm,en
40651,Institute Benjamenta or This Dream People Call Human Life,en
36915,Heaven's Prisoners,en
40507,Original Gangstas,en
9802,The Rock,en
25697,Getting Away with Murder,en
21588,Dellamorte Dellamore,it
664,Twister,en
11867,Barb Wire,en
47119,Le garçu,fr
314352,Honigmond,de
9323,GHOST IN THE SHELL,ja
10280,Thinner,en
10535,Spy Hard,en
124613,Brothers in Trouble,en
532,A Close Shave,en
26744,Force of Evil,en
16299,The Stupids,en
10547,The Arrival,en
245268,The Man from Down Under,en
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en
55613,Careful,en
215107,Vermont Is for Lovers,en
41007,A Month by the Lake,en
35645,Gold Diggers: The Secret of Bear Mountain,en
110465,Kim,en
255546,Carmen Miranda: Bananas Is My Business,pt
40751,東邪西毒,zh
275096,Khomreh,en
85778,Maya Lin: A Strong Clear Vision,en
11101,Stalingrad,de
9826,The Phantom,en
9879,Striptease,en
63564,The Last of the High Kings,en
22621,Heavy,en
7095,Jack,en
26890,I Shot Andy Warhol,en
46732,The Grass Harp,en
124633,Tuđa Amerika,sr
202425,La vie est belle,fr
196940,Quartier Mozart,en
77771,Touki-Bouki,wo
181083,Wend Kuuni,fr
41225,Histoires extraordinaires,fr
188589,Babyfever,en
87190,Pharaoh's  Army,en
627,Trainspotting,en
32872,Til There Was You,en
602,Independence Day,en
14553,Stealing Beauty,en
9566,The Fan,en
10545,The Hunchback of Notre Dame,en
9894,The Cable Guy,en
11543,Kingpin,en
9268,Eraser,en
52059,The Gate of Heavenly Peace,en
9327,The Nutty Professor,en
123763,Yo la peor de todas,es
81949,Un été inoubliable,ro
42005,Hol volt hol nem volt,en
124306,En compagnie d'Antonin Artaud,en
183955,Sibak,en
44535,Somebody to Love,en
44495,A Very Natural Thing,en
78285,La vieille qui marchait dans la mer,fr
11228,Daylight,en
10779,The Frighteners,en
26748,Lone Star,en
38223,Harriet the Spy,en
9294,Phenomenon,en
49963,Walking and Talking,en
11363,She's the One,en
1645,A Time to Kill,en
31546,American Buffalo,en
77056,Les Rendez-vous de Paris,fr
36344,Alaska,en
18550,Fled,en
11511,Kazaam,en
172198,Bűvös vadász,hu
34170,Larger Than Life,en
281085,A Boy Called Hate,en
109478,Power 98,en
124645,Two Deaths,en
12606,A Very Brady Sequel,en
69895,Stefano Quantestorie,en
35206,La mort en ce jardin,fr
151489,Hedd Wyn,cy
4837,La Collectionneuse,fr
12632,Kaspar Hauser,de
9098,Echte Kerle,de
282919,Diebinnen,de
124614,O Convento,en
18975,The Adventures of Pinocchio,en
11962,Joe's Apartment,en
2925,The First Wives Club,en
28628,Stonewall,en
3595,Ransom,en
9308,High School High,en
92381,Phat Beach,en
18555,Foxfire,en
12123,Chain Reaction,en
10830,Matilda,en
3573,Emma,en
10546,The Crow: City of Angels,en
18862,House Arrest,en
31417,Les Yeux sans visage,fr
9431,Bordello of Blood,en
124619,Lotto Land,en
297645,The Story of Xinghua,en
48144,天國逆子,zh
46986,Flirt,en
144982,The Big Squeeze,en
47907,The Spitfire Grill,en
10061,Escape from L.A.,en
36266,Xích lô,vi
549,Basquiat,en
10478,Tin Cup,en
66634,Dingo,en
116690,楢山節考,ja
213917,Un week-end sur deux,fr
145925,Mille bolle blu,it
100914,Wuya yu maque,en
238,The Godfather,en
159,Der bewegte Mann,de
11134,警察故事 III：超級警察,cn
88224,Manny & Lo,en
132641,Tsuma,ja
42758,Small Faces,en
9303,Bound,en
23945,Carpool,en
37820,Death in Brunswick,en
22479,Kansas City,en
9054,Gone Fishin',en
241058,Lover's Knot,de
11985,愛情萬歲,zh
10232,Schatten der Engel,de
59569,Killer: A Journal of Murder,en
410921,Nothing to Lose,en
38955,超级计划,cn
110513,Girls Town,en
114089,Bye-Bye,en
11015,The Relic,en
9306,The Island of Dr. Moreau,en
12559,First Kid,en
58770,The Trigger Effect,en
124851,Sweet Nothing,en
3587,Bogus,en
10723,Bulletproof,en
56077,Talk of Angels,en
19004,The Land Before Time III: The Time of the Great Giving,en
101230,06,nl
253632,Baton Rouge,fr
10987,Halloween: The Curse of Michael Myers,en
44705,Twelfth Night,en
20318,Mother Night,en
43596,Liebelei,de
79782,Wenecja,en
26933,Les Roseaux Sauvages,fr
27854,For Whom the Bell Tolls,en
981,The Philadelphia Story,en
872,Singin' in the Rain,en
2769,An American in Paris,en
13320,Funny Face,en
164,Breakfast at Tiffany's,en
426,Vertigo,en
567,Rear Window,en
3078,It Happened One Night,en
13528,Gaslight,en
28288,The Gay Divorcee,en
213,North by Northwest,en
284,The Apartment,en
239,Some Like It Hot,en
4808,Charade,en
289,Casablanca,en
963,The Maltese Falcon,en
11113,My Fair Lady,en
6620,Sabrina,en
804,Roman Holiday,en
26531,The Little Princess,en
909,Meet Me in St. Louis,en
630,The Wizard of Oz,en
770,Gone with the Wind,en
31044,My Favorite Year,en
599,Sunset Boulevard,en
15,Citizen Kane,en
62,2001: A Space Odyssey,en
121357,Golden Earrings,en
705,All About Eve,en
22490,The Women,en
223,Rebecca,en
25670,Foreign Correspondent,en
303,Notorious,en
4174,Spellbound,en
8356,An Affair to Remember,en
381,To Catch a Thief,en
20758,Father of the Bride,en
29376,The Band Wagon,en
1859,Ninotchka,en
18299,Love in the Afternoon,en
17281,Gigi,en
64382,The Reluctant Debutante,it
10907,The Adventures of Robin Hood,en
32093,The Mark of Zorro,en
1939,Laura,en
22292,The Ghost and Mrs. Muir,en
3598,Lost Horizon,en
3080,Top Hat,en
198,To Be or Not to Be,en
13562,My Man Godfrey,en
1712,Giant,en
220,East of Eden,en
3529,The Thin Man,en
3085,His Girl Friday,en
2897,Around the World in Eighty Days,en
1585,It's a Wonderful Life,en
3083,Mr. Smith Goes to Washington,en
900,Bringing Up Baby,en
43795,Penny Serenade,en
85638,The Scarlet Letter,en
50001,Lady of Burlesque,en
43905,Of Human Bondage,en
22688,Angel on My Shoulder,en
23114,Little Lord Fauntleroy,en
26378,They Made Me a Criminal,en
40206,The Inspector General,en
22356,Angel and the Badman,en
260,The 39 Steps,en
43488,A Walk in the Sun,en
22613,The Outlaw,en
10331,Night of the Living Dead,en
488,The African Queen,en
22733,Beat the Devil,en
261,Cat on a Hot Tin Roof,en
57575,The Last Time I Saw Paris,en
32574,Meet John Doe,en
22657,Algiers,en
76464,Something to Sing About,en
22649,A Farewell to Arms,en
176841,Moonlight Murder,en
125587,Nothing Personal,en
39448,Huang jia shi jie,cn
52855,Dangerous Ground,en
39940,Picnic,en
172868,Madagascar Skin,en
85328,The Pompatus of Love,en
124632,Small Wonders,en
11076,Fly Away Home,en
63945,Bliss,en
58985,Grace of My Heart,en
890,Schlafes Bruder,de
10861,Maximum Risk,en
1770,Michael Collins,en
44465,The Rich Man's Wife,en
2033,Infinity,en
18203,Big Night,en
9333,Last Man Standing,en
47260,Caught,en
9400,Set It Off,en
9401,2 Days in the Valley,en
12241,Curdled,en
25739,L'associé,en
161806,Ed's Next Move,en
11306,Extreme Measures,en
9625,The Glimmer Man,en
10680,D3: The Mighty Ducks,en
6346,The Chamber,en
18660,The Apple Dumpling Gang,en
35115,Davy Crockett King of the Wild Frontier,en
14821,Escape to Witch Mountain,en
14136,The Love Bug,en
10869,Herbie Rides Again,en
22660,Old Yeller,en
19186,The Parent Trap,en
31102,Pollyanna,en
6878,Homeward Bound: The Incredible Journey,en
15944,The Shaggy Dog,en
18444,Swiss Family Robinson,en
20723,That Darn Cat!,en
173,20000 Leagues Under the Sea,en
864,Cool Runnings,en
24795,Angels in the Outfield,en
11224,Cinderella,en
81310,Winnie the Pooh and the Blustery Day,en
15947,The Three Caballeros,en
9078,The Sword in the Stone,en
29682,So Dear to My Heart,en
8367,Robin Hood: Prince of Thieves,en
433,Mary Poppins,en
11360,Dumbo,en
11114,Pete's Dragon,en
12335,Bedknobs and Broomsticks,en
12092,Alice in Wonderland,en
10948,The Fox and the Hound,en
11229,Freeway,en
15121,The Sound of Music,en
562,Die Hard,en
10163,The Lawnmower Man,en
48862,Unhook the Stars,en
117036,Synthetic Pleasures,en
47199,The Secret Agent,en
11159,Secrets & Lies,en
9591,That Thing You Do!,en
30500,To Gillian on Her 37th Birthday,en
41843,Surviving Picasso,en
55058,Love Is All There Is,en
10938,Beautiful Thing,en
11412,The Long Kiss Goodnight,en
10586,The Ghost and the Darkness,en
42314,Looking for Richard,en
27845,Trees Lounge,en
108365,The Proprietor,en
23223,Normal Life,en
49471,Get on the Bus,en
38153,Shadow Conspiracy,en
25147,Jude,en
9716,Everyone Says I Love You,en
43777,Azúcar amarga,es
454,Romeo + Juliet,en
10218,Swingers,en
819,Sleepers,en
38191,The Sunchaser,en
56830,Johns,en
11238,Aladdin and the King of Thieves,en
27256,The Woman in Question,en
31530,Shall We Dance,en
66473,A Damsel in Distress,en
28120,Crossfire,en
